      X       Y           ¦Ñs            ¦Çs
     1.5    -1.0     8.564050E+01     0.000000E+00
     2.0    -1.5     1.085421E+02     0.000000E+00
     2.5    -2.0     1.059470E+02     0.000000E+00
     3.0    -2.5     1.016301E+02     0.000000E+00
     3.5    -3.0     1.002277E+02     0.000000E+00
     4.0    -3.5     1.007141E+02     0.000000E+00
     4.5    -4.0     1.017641E+02     0.000000E+00
     5.0    -4.5     1.027480E+02     0.000000E+00
     5.5    -5.0     1.035471E+02     0.000000E+00
     6.0    -5.5     1.042563E+02     0.000000E+00
     6.5    -6.0     1.049724E+02     0.000000E+00
     7.0    -6.5     1.056610E+02     0.000000E+00
     7.5    -7.0     1.059937E+02     0.000000E+00
     8.0    -7.5     1.051963E+02     0.000000E+00
     8.5    -8.0     1.019994E+02     0.000000E+00
     9.0    -8.5     9.549502E+01     0.000000E+00
     9.5    -9.0     8.796631E+01     0.000000E+00
    10.0    -9.5     8.104736E+01     0.000000E+00
    10.5   -10.0     7.575268E+01     0.000000E+00
    11.0   -10.5     7.277489E+01     0.000000E+00
    11.5   -11.0     7.271563E+01     0.000000E+00
    12.0   -11.5     7.553114E+01     0.000000E+00
    12.5   -12.0     7.929823E+01     0.000000E+00
    13.0   -12.5     8.296372E+01     0.000000E+00
    13.5   -13.0     8.612076E+01     0.000000E+00
    14.0   -13.5     8.871851E+01     0.000000E+00
    14.5   -14.0     9.079384E+01     0.000000E+00
    15.0   -14.5     9.243415E+01     0.000000E+00
    15.5   -15.0     9.373222E+01     0.000000E+00
    16.0   -15.5     9.475202E+01     0.000000E+00
     2.5    -1.0     8.560407E+01     0.000000E+00
     3.0    -1.5     1.084722E+02     0.000000E+00
     3.5    -2.0     1.058572E+02     0.000000E+00
     4.0    -2.5     1.015379E+02     0.000000E+00
     4.5    -3.0     1.001542E+02     0.000000E+00
     5.0    -3.5     1.006846E+02     0.000000E+00
     5.5    -4.0     1.018099E+02     0.000000E+00
     6.0    -4.5     1.029033E+02     0.000000E+00
     6.5    -5.0     1.038382E+02     0.000000E+00
     7.0    -5.5     1.046760E+02     0.000000E+00
     7.5    -6.0     1.054165E+02     0.000000E+00
     8.0    -6.5     1.058082E+02     0.000000E+00
     8.5    -7.0     1.051287E+02     0.000000E+00
     9.0    -7.5     1.021335E+02     0.000000E+00
     9.5    -8.0     9.585379E+01     0.000000E+00
    10.0    -8.5     8.845221E+01     0.000000E+00
    10.5    -9.0     8.155392E+01     0.000000E+00
    11.0    -9.5     7.614439E+01     0.000000E+00
